"Name","Runtime","Notes","Tags","lifetime","num_sample_runs","perceive_layer_size","perception_kernel_size","size","target_loss","target_state","training_seconds","loss"
"dulcet-dragon-564","3846","-","","100","20","64","3","64","0.01","sconf_image(""lenna.png"")","19980","0.014680752530694008"
"sunny-bee-563","176","-","","100","20","256","5","64","0.01","sconf_image(""lenna.png"")","19980","0.046991899609565735"
"devoted-sky-562","257","-","","100","10","256","7","64","0.01","sconf_image(""lenna.png"")","9990","0.06499296426773071"
"jolly-haze-561","560","-","","50","10","256","5","32","0.01","sconf_image(""lenna.png"")","9990","0.00950690172612667"
"silvery-resonance-560","34","-","","50","10","256","5","32","0.01","sconf_image(""lenna.png"")","9990",""
"fallen-dew-559","698","-","","50","10","256","3","32","0.01","sconf_image(""lenna.png"")","9990","0.009787156246602535"
"avid-dust-558","264","-","","50","10","","","32","0.015","sconf_image(""lenna.png"")","9990","0.016005676239728928"
"volcanic-microwave-557","174","-","","100","20","","","64","0.02","sconf_image(""lenna.png"")","19980","0.017043931409716606"
"prime-fog-556","136","-","","100","10","","","64","0.02","sconf_image(""lenna.png"")","9990","0.020696761086583138"
"lemon-violet-555","232","-","","100","10","","","64","0.03","sconf_image(""lenna.png"")","9990","0.047947291284799576"
"balmy-sun-554","40","-","","100","10","","","64","0.005","sconf_image(""lenna.png"")","9990","2.286452054977417"
"restful-sky-553","250","-","","100","10","","","64","0.005","sconf_image(""lenna.png"")","9990","0.007319414988160133"
"lucky-snowflake-552","70","-","","100","10","","","64","0.005","sconf_image(""lenna.png"")","9990","0.0863221064209938"
"copper-morning-551","98","-","","50","10","","","32","0.01","sconf_image(""lenna.png"")","9990","0.01463385857641697"
"dazzling-shape-550","187","-","","100","10","","","64","0.02","sconf_image(""lenna.png"")","9990","0.02157764881849289"
"devout-bee-549","56","-","","100","10","","","64","0.05","sconf_image(""lenna.png"")","9990","0.07402049005031586"
"fine-pyramid-548","69","-","","100","10","","","64","0.1","sconf_image(""lenna.png"")","9990","0.2000618427991867"
"floral-sound-547","106","-","","100","10","","","64","0.2","sconf_image(""lenna.png"")","9990","0.18670664727687836"
"olive-monkey-546","139","-","","100","10","","","64","0.1","sconf_image(""lenna.png"")","9990","0.1664920598268509"
"atomic-lake-545","63","-","","50","10","","","30","0.05","sconf_image(""lenna.png"")","9990","0.14663031697273254"
"sage-wood-544","71","-","","50","10","","","30","0.05","sconf_image(""lenna.png"")","9990","0.1461045742034912"
"rare-haze-543","28","-","","50","5","","","30","0.05","sconf_image(""lenna.png"")","4995","0.1556149572134018"
"playful-shadow-542","66","-","","50","10","","","30","0.05","sconf_image(""lenna.png"")","9990","0.15071353316307068"
"lucky-sponge-541","171","-","","50","10","","","30","0.05","sconf_image(""lenna.png"")","9990","0.14682413637638092"
"polar-thunder-540","89","-","","50","10","","","30","0.05","sconf_image(""lenna.png"")","9990","0.14622250199317932"
"dark-lake-539","73","-","","50","10","","","30","0.05","sconf_image(""lenna.png"")","9990","0.14620566368103027"
"skilled-sponge-538","113","-","","50","10","","","30","0.03","sconf_image(""lenna.png"")","9990","0.14749568700790405"
"devout-brook-537","75","-","","50","10","","","30","0.03","sconf_image(""lenna.png"")","9990","0.14640948176383972"
"smooth-haze-536","6","-","","50","10","","","30","0.03","sconf_image(""lenna.png"")","9990",""
"lemon-water-535","25","-","","50","10","","","30","0.03","sconf_image(""lenna.png"")","9990",""
"stilted-frost-534","51","-","","50","10","","","30","0.03","sconf_image(""lenna.png"")","9990","0.14255350828170776"
"electric-field-533","91","-","","50","10","","","30","0.03","sconf_image(""lenna.png"")","9990","0.04611845314502716"
"curious-paper-532","86","-","","60","4","","","16","0.05","sconf_image(""nautilus.png"")","3996","0.047090448439121246"
"drawn-energy-531","19","-","","60","4","","","16","0.05","sconf_image(""nautilus.png"")","3996","0.0498591847717762"
"vibrant-gorge-530","22","-","","60","4","","","16","0.05","sconf_image(""nautilus.png"")","3996","0.04252772033214569"
"smart-silence-529","44","-","","60","4","","","16","0.05","sconf_image(""nautilus.png"")","3996",""